移动线路,#genre#
重庆卫视,rtsp://171.35.128.100:554/PLTV/88888888/224/3221227041/10000100000000060000000000570949_0.smil
河南卫视,rtsp://171.35.135.103:554/PLTV/88888888/224/3221227042/10000100000000060000000000570950_0.smil
河北卫视,rtsp://171.35.128.110:554/PLTV/88888888/224/3221227043/10000100000000060000000000570951_0.smil
吉林卫视,rtsp://171.35.135.103:554/PLTV/88888888/224/3221227045/10000100000000060000000000571120_0.smil
安徽卫视,rtsp://171.35.128.110:554/PLTV/88888888/224/3221227046/10000100000000060000000000571121_0.smil
湖北卫视,rtsp://171.35.128.110:554/PLTV/88888888/224/3221227049/10000100000000060000000000571124_0.smil
东南卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227050/10000100000000060000000000571125_0.smil
广西卫视,rtsp://171.35.135.103:554/PLTV/88888888/224/3221227105/10000100000000060000000000637589_0.smil
黑龙江卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227210/10000100000000060000000000680015_0.smil
辽宁卫视,rtsp://171.35.128.100:554/PLTV/88888888/224/3221227306/10000100000000060000000001945851_0.smil
云南卫视,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227301/10000100000000060000000001945852_0.smil
甘肃卫视,rtsp://171.35.128.110:554/PLTV/88888888/224/3221227362/10000100000000060000000001951611_0.smil
贵州卫视,rtsp://171.35.128.100:554/PLTV/88888888/224/3221227310/10000100000000060000000001945854_0.smil
海南卫视,rtsp://171.35.128.109:554/PLTV/88888888/224/3221227303/10000100000000060000000001945869_0.smil
CHC动作电影,rtsp://171.35.135.102:554/PLTV/88888888/224/3221227214/10000100000000060000000000680177_0.smil
CHC家庭影院,rtsp://171.35.135.102:554/PLTV/88888888/224/3221227213/10000100000000060000000000680164_0.smil
CHC高清电影,rtsp://171.35.135.102:554/PLTV/88888888/224/3221227215/10000100000000060000000000680163_0.smil
金鹰纪实,rtsp://171.35.135.102:554/PLTV/88888888/224/3221227039/10000100000000060000000000570897_0.smil
金鹰卡通,rtsp://171.35.128.100:554/PLTV/88888888/224/3221227312/10000100000000060000000001945876_0.smil
纪实人文,rtsp://171.35.128.109:554/PLTV/88888888/224/3221227040/10000100000000060000000000570944_0.smil
快乐垂钓,rtsp://171.35.135.103:554/PLTV/88888888/224/3221227048/10000100000000060000000000571123_0.smil
CETV1,rtsp://171.35.128.101:554/PLTV/88888888/224/3221227044/10000100000000060000000000571119_0.smil
